CALL_TIME,CALLING_NUMBER,CALLED_NUMBER,DURATION,DESTINATION NAME
11/01/2016 11:35,924232560170,923214751417,64,Pakistan-Warid-Mobile
11/01/2016 11:35,924232560170,923007237020,43,Pakistan-Mobilink-Mobile
11/01/2016 11:35,922137130231,923214404444,72,Pakistan-Warid-Mobile
11/01/2016 11:35,922137130231,923065364661,76,Pakistan-Mobilink-Mobile
11/01/2016 11:35,924232560605,923004009927,39,Pakistan-Mobilink-Mobile
11/01/2016 11:37,92415270400,923006640949,75,Pakistan-Mobilink-Mobile
11/01/2016 11:37,92517080170,923016794123,44,Pakistan-Mobilink-Mobile
11/01/2016 11:37,924232560670,923109266786,240,Pakistan-Zong-Mobile
11/01/2016 11:37,922137131501,923008420392,136,Pakistan-Mobilink-Mobile
11/01/2016 11:37,922137130041,923215204280,60,Pakistan-Warid-Mobile
11/01/2016 11:37,92517080170,923028988922,43,Pakistan-Mobilink-Mobile
11/01/2016 11:37,922137170425,923212413959,43,Pakistan-Warid-Mobile
11/01/2016 11:37,922137131900,923350216359,79,Pakistan-Ufone-Mobile
11/01/2016 11:37,92415270400,923000805020,56,Pakistan-Mobilink-Mobile
11/01/2016 11:37,922137133500,923213804478,37,Pakistan-Warid-Mobile
11/01/2016 11:37,92517080170,923315586656,99,Pakistan-Ufone-Mobile
11/01/2016 11:37,922137130144,923332120886,18,Pakistan-Ufone-Mobile
11/01/2016 11:37,924232560170,923474677285,51,Pakistan-Telenor-Mobile
11/01/2016 11:37,924232560901,923062464985,26,Pakistan-Mobilink-Mobile
11/01/2016 11:37,922137132500,923115918838,200,Pakistan-Zong-Mobile
11/01/2016 11:37,92517080170,923005394308,49,Pakistan-Mobilink-Mobile
11/01/2016 11:37,922137130226,923072593199,56,Pakistan-Mobilink-Mobile
11/01/2016 11:37,922137132001,923222387420,13,Pakistan-Warid-Mobile
11/01/2016 11:37,922137132500,923348721007,33,Pakistan-Ufone-Mobile
11/01/2016 11:37,922137130099,923319191915,31,Pakistan-Ufone-Mobile
11/01/2016 11:37,922137131629,923002121931,24,Pakistan-Mobilink-Mobile
11/01/2016 11:37,924232560170,923088495393,92,Pakistan-Mobilink-Mobile
11/01/2016 11:37,924232560641,923004375530,91,Pakistan-Mobilink-Mobile
11/01/2016 11:37,924232560170,923334374287,40,Pakistan-Ufone-Mobile
11/01/2016 11:37,922137130226,923217681104,138,Pakistan-Warid-Mobile
11/01/2016 11:40,922137130024,923417220825,17,Pakistan-Telenor-Mobile
11/01/2016 11:40,924232560596,923009402388,29,Pakistan-Mobilink-Mobile
11/01/2016 11:40,924232560170,923224109359,37,Pakistan-Warid-Mobile
11/01/2016 11:40,922137130144,923222005803,31,Pakistan-Warid-Mobile
11/01/2016 11:40,922137130231,923009318891,61,Pakistan-Mobilink-Mobile
11/01/2016 11:40,922137132500,923222973707,20,Pakistan-Warid-Mobile
11/01/2016 11:40,922137130099,923454951616,25,Pakistan-Telenor-Mobile
11/01/2016 11:40,922137131501,923342106558,93,Pakistan-Ufone-Mobile
11/01/2016 11:40,922137130359,923477770535,39,Pakistan-Telenor-Mobile
11/01/2016 11:40,922137130144,923132555359,10,Pakistan-Zong-Mobile
11/01/2016 11:40,92517080170,923364237007,108,Pakistan-Ufone-Mobile
11/01/2016 11:40,924232560170,923004950534,15,Pakistan-Mobilink-Mobile
11/01/2016 11:40,922137130435,923003124274,17,Pakistan-Mobilink-Mobile
11/01/2016 11:40,922137130391,923022638388,63,Pakistan-Mobilink-Mobile
11/01/2016 11:40,922137130068,923118128839,75,Pakistan-Zong-Mobile
11/01/2016 11:40,922137170425,923225900987,2091,Pakistan-Warid-Mobile
11/01/2016 11:40,924232560901,923009047275,26,Pakistan-Mobilink-Mobile
11/01/2016 11:40,924232560638,923337103514,60,Pakistan-Ufone-Mobile
11/01/2016 11:40,92517080170,923215529362,49,Pakistan-Warid-Mobile
11/01/2016 11:40,922137131569,923133699979,75,Pakistan-Zong-Mobile
11/01/2016 11:40,922137133500,923323674746,14,Pakistan-Ufone-Mobile
11/01/2016 11:40,922137132233,923217566051,23,Pakistan-Warid-Mobile
11/01/2016 11:40,922137133500,923008245456,433,Pakistan-Mobilink-Mobile
11/01/2016 11:40,922137132500,923061614299,732,Pakistan-Mobilink-Mobile
11/01/2016 11:40,922137132233,923368043353,60,Pakistan-Ufone-Mobile
11/01/2016 11:40,922137130231,923005014647,55,Pakistan-Mobilink-Mobile
11/01/2016 11:42,922137130144,923002649234,18,Pakistan-Mobilink-Mobile
11/01/2016 11:42,924232560171,923216164664,22,Pakistan-Warid-Mobile
11/01/2016 11:42,922137131569,923222266779,48,Pakistan-Warid-Mobile
11/01/2016 11:42,922137133500,923323249136,74,Pakistan-Ufone-Mobile
11/01/2016 11:42,924232560171,923216669321,46,Pakistan-Warid-Mobile
11/01/2016 11:42,924232560536,923334113535,305,Pakistan-Ufone-Mobile
11/01/2016 11:42,924232560406,923353939456,70,Pakistan-Ufone-Mobile
11/01/2016 11:42,924232560307,923462220555,73,Pakistan-Telenor-Mobile
11/01/2016 11:42,922137133500,923330262529,81,Pakistan-Ufone-Mobile
11/01/2016 11:42,92517080170,923335559235,15,Pakistan-Ufone-Mobile
11/01/2016 11:42,922137132500,923465142411,29,Pakistan-Telenor-Mobile
11/01/2016 11:42,922137130144,923002664805,1,Pakistan-Mobilink-Mobile
11/01/2016 11:42,922137133500,923008377134,31,Pakistan-Mobilink-Mobile
11/01/2016 11:42,92517080170,923335140873,29,Pakistan-Ufone-Mobile
11/01/2016 11:42,92532210050,923345098056,55,Pakistan-Ufone-Mobile
11/01/2016 11:42,922137130103,923366502777,57,Pakistan-Ufone-Mobile
11/01/2016 11:42,92517080170,923005142230,64,Pakistan-Mobilink-Mobile
11/01/2016 11:42,922137171325,923312398717,7,Pakistan-Ufone-Mobile
11/01/2016 11:42,924232560400,923464560076,164,Pakistan-Telenor-Mobile
11/01/2016 11:42,92517080170,923005048669,24,Pakistan-Mobilink-Mobile
11/01/2016 11:42,922137131326,923332975457,245,Pakistan-Ufone-Mobile
11/01/2016 11:42,92517080170,923218508076,71,Pakistan-Warid-Mobile
11/01/2016 11:44,922137131900,923003157360,213,Pakistan-Mobilink-Mobile
11/01/2016 11:44,924232560640,923218856018,34,Pakistan-Warid-Mobile
11/01/2016 11:44,922137130144,923002424088,21,Pakistan-Mobilink-Mobile
11/01/2016 11:44,922137130099,923046860925,27,Pakistan-Mobilink-Mobile
11/01/2016 11:44,922137130231,923052212635,14,Pakistan-Mobilink-Mobile
11/01/2016 11:44,924232560232,923214760358,49,Pakistan-Warid-Mobile
11/01/2016 11:44,92528250210,923006164375,97,Pakistan-Mobilink-Mobile
11/01/2016 11:44,922137130227,923213311717,89,Pakistan-Warid-Mobile
11/01/2016 11:44,922137131569,923228331758,30,Pakistan-Warid-Mobile
11/01/2016 11:44,924232560871,923436099808,45,Pakistan-Telenor-Mobile
11/01/2016 11:44,922137130231,923230483809,35,Pakistan-Warid-Mobile
11/01/2016 11:44,922137130079,923000220576,36,Pakistan-Mobilink-Mobile
11/01/2016 11:44,922137130144,923212330714,22,Pakistan-Warid-Mobile
11/01/2016 11:44,922137132233,923323774001,73,Pakistan-Ufone-Mobile
11/01/2016 11:44,922137130219,923481961509,179,Pakistan-Telenor-Mobile
11/01/2016 11:46,924232560871,923154111744,167,Pakistan-Zong-Mobile
11/01/2016 11:46,922137133500,923243411805,39,Pakistan-Warid-Mobile
11/01/2016 11:46,924232560170,923008286829,39,Pakistan-Mobilink-Mobile
11/01/2016 11:46,922137132500,923009464231,132,Pakistan-Mobilink-Mobile
11/01/2016 11:46,92482300110,923008701274,62,Pakistan-Mobilink-Mobile
11/01/2016 11:46,922137130064,923343418834,147,Pakistan-Ufone-Mobile
11/01/2016 11:46,922137130231,923332378849,90,Pakistan-Ufone-Mobile
11/01/2016 11:46,924232560170,923006629892,82,Pakistan-Mobilink-Mobile
11/01/2016 11:46,922137130359,923332596414,115,Pakistan-Ufone-Mobile
11/01/2016 11:46,922137130231,923332277988,76,Pakistan-Ufone-Mobile
11/01/2016 11:46,922137133500,923006999154,415,Pakistan-Mobilink-Mobile
11/01/2016 11:46,922137130231,923028657923,171,Pakistan-Mobilink-Mobile
11/01/2016 11:47,924232560171,923359111165,133,Pakistan-Ufone-Mobile
11/01/2016 11:47,922137130095,923223658071,98,Pakistan-Warid-Mobile
11/01/2016 11:49,922137170425,923009651856,260,Pakistan-Mobilink-Mobile
11/01/2016 11:49,922137131900,923342046339,79,Pakistan-Ufone-Mobile
11/01/2016 11:49,922137130065,923142912442,561,Pakistan-Zong-Mobile
11/01/2016 11:49,924232560406,923134240993,144,Pakistan-Zong-Mobile
11/01/2016 11:49,922137133500,923214476558,59,Pakistan-Warid-Mobile
11/01/2016 11:49,922137132233,923322399414,114,Pakistan-Ufone-Mobile
11/01/2016 11:49,924232560574,923327880476,137,Pakistan-Ufone-Mobile
11/01/2016 11:49,92532210050,923460416786,40,Pakistan-Telenor-Mobile
